2024/03/02 18:43:04 [error] 13088#32: *2542 upstream timed out (10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/pages/17?simply_static_page=8968 HTTP/1.0", upstream: "fastcgi://127.0.0.1:10009", host: "digital-agency.local"
2024/03/02 19:30:12 [error] 13088#32: *5777 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10008", host: "digital-agency.local", referrer: "http://digital-agency.local/wp-admin/admin.php?page=simply-static-generate"
2024/03/02 19:30:12 [error] 13088#32: *5785 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/export-log?page=1&per_page=25&blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10008", host: "digital-agency.local", referrer: "http://digital-agency.local/wp-admin/admin.php?page=simply-static-generate"
2024/03/02 19:30:12 [error] 13088#32: *5781 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/export-log?page=1&per_page=25&blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10008", host: "digital-agency.local", referrer: "http://digital-agency.local/wp-admin/admin.php?page=simply-static-generate"
2024/03/02 19:30:13 [error] 13088#32: *5792 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10009", host: "digital-agency.local", referrer: "http://digital-agency.local/wp-admin/admin.php?page=simply-static-generate"
2024/03/02 19:30:13 [error] 13088#32: *5792 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "digital-agency.local", referrer: "http://digital-agency.local/wp-admin/admin.php?page=simply-static-generate"
2024/03/02 19:30:13 [error] 13088#32: *5798 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10009", host: "digital-agency.local", referrer: "http://digital-agency.local/wp-admin/admin.php?page=simply-static-generate"
2024/03/02 19:30:13 [error] 13088#32: *5798 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "digital-agency.local", referrer: "http://digital-agency.local/wp-admin/admin.php?page=simply-static-generate"
2024/03/02 19:30:13 [error] 13088#32: *5794 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/export-log?page=1&per_page=25&blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10009", host: "digital-agency.local", referrer: "http://digital-agency.local/wp-admin/admin.php?page=simply-static-generate"
2024/03/02 19:30:13 [error] 13088#32: *5794 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/export-log?page=1&per_page=25&blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "digital-agency.local", referrer: "http://digital-agency.local/wp-admin/admin.php?page=simply-static-generate"
2024/03/02 19:30:13 [error] 13088#32: *5802 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/export-log?page=1&per_page=25&blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10009", host: "digital-agency.local", referrer: "http://digital-agency.local/wp-admin/admin.php?page=simply-static-generate"
